day_of_week,hour,count
2,7,98875
4,8,110355
5,10,54154
3,10,53659
4,16,93734
5,12,51289
6,5,36912
6,10,56093
6,18,75410
3,18,68248
7,4,12183
2,14,61715
3,20,30301
3,22,20887
4,9,62775
5,23,16340
7,0,16220
7,12,38419
4,4,24029
3,5,37622
4,17,96914
2,2,10097
4,6,75087
4,20,31728
2,9,56477
3,15,80133
4,22,22108
5,0,13661
6,19,51810
7,6,16452
7,19,27393
7,23,17283
1,3,12826
1,4,12220
2,0,12407
1,6,14606
2,1,10336
2,23,14362
1,7,16780
2,17,86017
5,6,71542
5,13,57924
1,10,23997
4,7,112582
5,17,97011
6,15,93299
2,11,51447
4,13,56602
6,12,60410
6,13,67435
3,12,48474
2,12,47948
5,4,24836
4,0,13158
4,23,15730
7,1,14434
1,20,21818
3,21,24050
4,1,10946
6,3,10948
2,3,9965
7,7,19982
1,22,17112
2,8,97607
2,18,61856
2,20,29850
3,7,114452
3,8,112527
3,17,95307
5,15,83784
7,11,36359
5,8,105094
3,14,63972
6,6,64153
6,17,97671
2,13,53121
4,14,65440
6,9,56799
6,22,26786
1,17,28666
3,23,15074
4,11,52767
4,21,25348
6,2,11600
7,8,21719
7,21,23821
1,9,19382
1,11,28352
1,14,33106
1,18,27109
2,15,75745
2,22,20286
5,22,23356
7,3,12057
5,1,11670
3,2,9256
6,20,37037
2,10,51529
4,10,53922
5,16,95728
2,16,86458
5,18,68679
2,5,37634
4,5,38260
5,20,32676
5,21,26676
6,0,14358
6,14,77673
7,15,37842
7,16,35984
7,18,31519
1,0,16292
1,5,12156
1,13,32421
1,16,30371
3,3,8896
5,3,9953
3,6,75299
5,9,60680
3,4,22719
3,9,62570
3,11,51368
6,11,60458
3,16,93105
6,8,90496
4,2,9843
4,15,81206
6,1,12129
6,21,30054
7,13,40097
7,20,24407
1,2,14941
1,19,24093
3,19,42251
2,4,25494
4,18,69657
5,14,68174
3,13,54108
6,16,102703
4,12,49595
7,10,31492
4,19,43921
5,11,53581
4,3,9235
6,23,19127
7,9,26765
1,12,30319
1,15,31199
1,21,20628
1,23,13945
6,4,27586
1,8,16748
3,1,10342
2,21,23477
5,7,107906
5,19,44839
2,6,69084
6,7,92514
5,5,37892
2,19,40410
7,2,15362
7,5,12936
7,14,40332
7,17,32945
7,22,20930
1,1,14728
3,0,12693
5,2,10685
