region,urban_rural,has_traffic_control,count,avg_severity,avg_poi,high_severity_count
Midwest,Rural,0,529684,2.3538279426979103,0.1327772785283301,165578
Southeast,Rural,0,1543712,2.235214210940901,0.13837036960262017,322047
Midwest,Urban,1,36749,2.1877057879125963,1.9116982775041498,6899
West,Rural,0,1476546,2.187272187930481,0.13662764316181142,260737
Northeast,Urban,1,12064,2.222314323607427,2.2693136604774535,2392
Southeast,Urban,1,154201,2.0465301781441108,1.8146639775358135,9067
Northeast,Rural,0,674191,2.278063634785988,0.1638853084659985,165925
West,Urban,1,75440,2.1044936373276775,2.0322507953340403,8357
Midwest,Rural,1,108355,2.135637487887038,1.51258363711873,14077
West,Urban,0,405687,2.2553421726602036,0.23899459435476117,102047
Southwest,Rural,0,142110,2.3167264794877207,0.09305467595524594,39205
Southwest,Urban,1,235603,2.0552921652101204,1.678187459412656,19315
West,Rural,1,173468,2.092091913205894,1.495889731823737,15178
Midwest,Urban,0,184830,2.3980468538657145,0.2312719796569821,70031
Southeast,Rural,1,315396,2.0513037578155715,1.4714739565498611,18002
Northeast,Urban,0,33532,2.328223786234045,0.3223786234045091,10109
Southwest,Urban,0,397527,2.2448437464625046,0.1508954108777517,95927
Southeast,Urban,0,514912,2.239765241439314,0.24389021813436082,118930
Northeast,Rural,1,134298,2.163956276340675,1.5913193048295582,17962
Southwest,Rural,1,38486,2.1128202463233383,1.5707270176167958,5162
