region,urban_rural,time_of_day,count,avg_severity
West,Rural,Night,284576,2.1764379287079727
West,Urban,Afternoon,178438,2.208985754155505
Southwest,Urban,Afternoon,223977,2.183268817780397
Southwest,Rural,Afternoon,65054,2.2951240507885755
Midwest,Urban,Night,28934,2.4285961152968825
Northeast,Rural,Afternoon,284516,2.265612478735818
Southeast,Urban,Morning,238168,2.1976839877733365
Northeast,Urban,Morning,15606,2.3089837242086375
Northeast,Urban,Night,7447,2.2615818450382705
Southwest,Urban,Night,67870,2.1679534404007663
Midwest,Rural,Afternoon,228674,2.334274994096399
Northeast,Rural,Night,104972,2.2973554852722633
West,Rural,Afternoon,604427,2.1668754043085436
Northeast,Rural,Evening,108600,2.3038950276243093
Northeast,Urban,Afternoon,15531,2.306226257163093
Southwest,Urban,Evening,96121,2.195461969808887
Southwest,Rural,Evening,27804,2.2933031218529707
Midwest,Urban,Evening,28346,2.445918295350314
Midwest,Rural,Night,77476,2.3428674686354483
Midwest,Urban,Morning,85778,2.3057077572337894
Midwest,Urban,Afternoon,78521,2.371938717031113
Southeast,Rural,Evening,270920,2.2352428761257936
Southeast,Urban,Evening,98636,2.2302303418630114
Southwest,Urban,Morning,245162,2.1595842748876253
West,Rural,Evening,257017,2.1839761572191723
West,Rural,Morning,503994,2.1867720647468025
Southeast,Urban,Afternoon,261065,2.178614521287802
Northeast,Urban,Evening,7012,2.3083285795778665
Midwest,Rural,Evening,89930,2.350895140664962
Northeast,Rural,Morning,310401,2.2245450240173197
Southeast,Rural,Night,222720,2.210699533045977
Southwest,Rural,Morning,65229,2.246914715847246
Southeast,Rural,Afternoon,714193,2.202285656678237
West,Urban,Night,77095,2.2553083857578313
West,Urban,Morning,150914,2.2331791616417296
West,Urban,Evening,74680,2.258543117300482
Southwest,Rural,Night,22509,2.261761961881914
Southeast,Urban,Night,71244,2.1994834652742687
Midwest,Rural,Morning,241959,2.2791960621427596
Southeast,Rural,Morning,651275,2.190632221411846
