hour,accident_count,avg_severity
0,98789,2.2281326868376032
1,84585,2.1975172902996984
2,81784,2.215690110535068
3,73880,2.2410530590146185
4,149067,2.240730678151435
5,213412,2.2255402695256126
6,386223,2.2128770166458236
7,563091,2.1926544732556548
8,554546,2.1938576781727757
9,345448,2.229814617540122
10,324846,2.224333992107029
11,334332,2.220200279961236
12,326454,2.2269140522094997
13,361708,2.2194864365731473
14,410412,2.2107735641258053
15,483208,2.2114348272379596
16,538083,2.215282772360398
17,534531,2.219813256855075
18,402478,2.2367707054795543
19,274717,2.24467724967876
20,207817,2.2553785301491214
21,174054,2.2513817550875017
22,151465,2.2506453636153565
23,111861,2.21254056373535
