year,month,count,avg_severity,month_year
2016,1,1,4.0,2016-01-01
2016,2,983,2.541200406917599,2016-02-01
2016,3,6298,2.4334709431565575,2016-03-01
2016,4,18042,2.3909211839042235,2016-04-01
2016,5,17481,2.3752645729649333,2016-05-01
2016,6,30408,2.399796106287819,2016-06-01
2016,7,45527,2.38306938739649,2016-07-01
2016,8,56218,2.3721405955387955,2016-08-01
2016,9,54495,2.3684558216350124,2016-09-01
2016,10,55488,2.3596813725490198,2016-10-01
2016,11,64865,2.3689046481153166,2016-11-01
2016,12,59471,2.3809083418809167,2016-12-01
2017,1,55582,2.3771724659062285,2017-01-01
2017,2,51542,2.377109929766016,2017-02-01
2017,3,56701,2.382303663074725,2017-03-01
2017,4,47427,2.3963986758597424,2017-04-01
2017,5,40752,2.403685708676875,2017-05-01
2017,6,46042,2.431540767125668,2017-06-01
2017,7,42973,2.4381821143508713,2017-07-01
2017,8,80637,2.368156057393008,2017-08-01
2017,9,76646,2.3722177282571826,2017-09-01
2017,10,74757,2.3692363256952524,2017-10-01
2017,11,69887,2.383476182981098,2017-11-01
2017,12,71289,2.407131535019428,2017-12-01
2018,1,74688,2.40302324335904,2018-01-01
2018,2,71138,2.3961455199752595,2018-02-01
2018,3,74055,2.3925460806157584,2018-03-01
2018,4,72343,2.3873629791410362,2018-04-01
2018,5,76203,2.387202603572038,2018-05-01
2018,6,67585,2.42216468151217,2018-06-01
2018,7,65492,2.406324436572406,2018-07-01
2018,8,76044,2.377242122981432,2018-08-01
2018,9,73011,2.3750667707605704,2018-09-01
2018,10,86798,2.3498352496601305,2018-10-01
2018,11,81773,2.359018257860174,2018-11-01
2018,12,69850,2.3747029348604154,2018-12-01
2019,1,78976,2.373759116693679,2019-01-01
2019,2,74112,2.357850280656304,2019-02-01
2019,3,69043,2.356980432484104,2019-03-01
2019,4,72653,2.340233713680096,2019-04-01
2019,5,73567,2.3501298136392674,2019-05-01
2019,6,65246,2.3616773442050087,2019-06-01
2019,7,67933,2.3430144406989237,2019-07-01
2019,8,74898,2.3132393388341477,2019-08-01
2019,9,87282,2.2468893930019935,2019-09-01
2019,10,106351,2.235747665748324,2019-10-01
2019,11,81525,2.2578227537565163,2019-11-01
2019,12,97640,2.23210774272839,2019-12-01
2020,1,91286,2.2315689152772604,2020-01-01
2020,2,84956,2.2280474598615756,2020-02-01
2020,3,82535,2.2155570364087964,2020-03-01
2020,4,81147,2.191442690426017,2020-04-01
2020,5,82323,2.2322558701699404,2020-05-01
2020,6,95440,2.257082984073764,2020-06-01
2020,7,35079,2.334359588357707,2020-07-01
2020,8,37136,2.350899396811719,2020-08-01
2020,9,72738,2.208804201380296,2020-09-01
2020,10,109018,2.160789961290796,2020-10-01
2020,11,139227,2.1181451873559007,2020-11-01
2020,12,143107,2.111888307350444,2020-12-01
2021,1,136736,2.1146223379358764,2021-01-01
2021,2,139413,2.1226141034193367,2021-02-01
2021,3,84544,2.176050340651022,2021-03-01
2021,4,83887,2.174603931479252,2021-04-01
2021,5,94115,2.1780056314083835,2021-05-01
2021,6,120533,2.145113786266002,2021-06-01
2021,7,104169,2.140281657690868,2021-07-01
2021,8,110990,2.135390575727543,2021-08-01
2021,9,122764,2.134037665765208,2021-09-01
2021,10,119197,2.134030218881348,2021-10-01
2021,11,138211,2.1281012365151835,2021-11-01
2021,12,154402,2.1198559604150207,2021-12-01
2022,1,116222,2.1231780557897815,2022-01-01
2022,2,139116,2.1113962448604044,2022-02-01
2022,3,119898,2.1037131561827556,2022-03-01
2022,4,161948,2.0813717983550277,2022-04-01
2022,5,131764,2.034197504629489,2022-05-01
2022,6,115756,2.0493970074985315,2022-06-01
2022,7,127695,2.0659227064489603,2022-07-01
2022,8,138810,2.0517109718320006,2022-08-01
2022,9,125718,2.040813566871888,2022-09-01
2022,10,76612,2.042108285908213,2022-10-01
2022,11,117951,2.044730438911073,2022-11-01
2022,12,169980,2.041075420637722,2022-12-01
2023,1,143507,2.0398168730445203,2023-01-01
2023,2,50097,2.0521787731800307,2023-02-01
2023,3,27046,2.0517636619093396,2023-03-01
