State,accident_count,avg_severity,high_severity_count
CA,1629140,2.17616165584296,283822
FL,780896,2.1542446113182807,115239
TX,563542,2.229659901125382,126817
SC,371783,2.1115032155854356,44931
NY,314278,2.274184002698248,77966
NC,310600,2.126709594333548,36888
VA,274114,2.281857183507592,65497
PA,262921,2.2028403969253123,42717
MN,178611,2.173220014444799,30617
IL,164704,2.387227996891393,61334
OR,164158,2.110619037756308,14526
TN,158452,2.20245247772196,31414
GA,158328,2.517962710322874,71956
AZ,157340,2.127717045887886,22155
MI,156242,2.3401262144621806,47259
LA,141954,2.1305986446313594,19085
MD,126833,2.339012717510427,34218
NJ,122333,2.2522704421537934,26017
OH,115374,2.356440792552915,36642
WA,103645,2.3492594915336005,33372
AL,97685,2.244459231202334,23018
UT,91659,2.189932248878997,16457
CO,83073,2.4467877649777905,31928
OK,82861,2.0776360410808463,7258
MO,73879,2.412715385968949,28036
CT,63114,2.3777291884526415,20089
IN,62570,2.4001758031005274,20581
MA,61012,2.2926309578443584,18791
WI,32784,2.481911908247926,12717
KY,31610,2.457703258462512,13597
NE,28491,2.178582710329578,4653
MT,25914,2.036775488153122,546
IA,24210,2.4247418422139613,8615
NV,20841,2.2329542728275995,4328
KS,19545,2.344998720900486,6041
AR,18922,2.2607546770954445,2821
DC,17291,2.142733213810653,1867
RI,16725,2.462660687593423,7786
MS,14171,2.3494460517959213,4271
DE,12814,2.2359138442328703,1960
WV,12768,2.1603226817042605,1284
NH,10110,2.2421364985163206,2286
NM,9983,2.376640288490434,3379
ID,9646,2.1187020526643168,683
WY,3065,2.3703099510603587,657
ND,2981,2.0157665213015767,31
ME,2677,2.2035861038475906,432
VT,915,2.4240437158469947,304
SD,227,2.484581497797357,59
